fecha;arroyo;ancho;q;
17/1/2018;16;2;0,017;
17/1/2018;16;2,2;0,0068;
17/1/2018;16;1,8;0,049725;
17/1/2018;18;6;0,2295;
17/1/2018;18;3;0,1275;
17/1/2018;18;4,9;0,2975;
17/1/2018;20;2,8;0,046565217;
17/1/2018;20;3,1;0,102790698;
17/1/2018;20;3;0,059302326;
17/1/2018;96;2,4;0,024727273;
17/1/2018;96;2,75;0,055956113;
17/1/2018;96;1,9;0,017274194;
18/1/2018;55;3,6;0,18792;
18/1/2018;55;3,6;0,1209;
18/1/2018;55;3,45;0,0735;
18/1/2018;55;3;0,1683;
18/1/2018;73;3;0,0225;
18/1/2018;73;3;0,020566667;
18/1/2018;73;3,1;0,0136;
18/1/2018;73;3,3;0,0256;
18/1/2018;71;0,9;0,001177829;
18/1/2018;71;0,9;0,002329521;
18/1/2018;71;1,1;0,003921846;
18/1/2018;71;0,9;0,001888889;
18/1/2018;69;8,2;0,1107;
18/1/2018;69;8,2;0,171;
18/1/2018;69;6,9;0,216;
18/1/2018;69;7,8;0,1863;
3/10/2019;16;210;0,0678;
3/10/2019;20;290;0,096;
3/10/2019;20;240;0,0808;
3/10/2019;20;280;0,10850035;
3/10/2019;20;340;0,040000162;
3/10/2019;96;230;0,0618;
3/10/2018;55;330;0,073;
12/12/2018;16;160;0,1164;
12/12/2018;16;220;0,116;
12/12/2018;16;150;0,06445;
12/12/2018;20;270;0,2338;
12/12/2018;20;330;0,31115;
12/12/2018;20;390;0,238;
12/12/2018;96;310;0,0816;
12/12/2018;96;230;0,066;
12/12/2018;96;230;0,0516;
12/12/2018;55;340;0,09315;
12/12/2018;55;340;0,0683;
12/12/2018;55;260;0,10725;
12/12/2018;73;290;0,01695;
12/12/2018;73;360;0,0324;
12/12/2018;73;300;0,015;
12/12/2018;69;870;0,33145;
12/12/2018;69;830;0,4705;
12/12/2018;69;440;0,3124;
12/12/2018;71;70;0,007;
12/12/2018;71;61;0,00366;
12/12/2018;71;60;0,006;
12/12/2018;71;80;0,0056;
12/12/2018;71;75;0,0075;
20/2/2019;16;180;0,0432;
20/2/2019;16;180;0,2808;
20/2/2019;16;142;0,0945;
20/2/2019;20;330;0,1376;
20/2/2019;20;310;0,06975;
20/2/2019;20;300;0,05325;
20/2/2019;96;180;0,0396;
20/2/2019;96;275;0,033;
20/2/2019;96;190;0,0836;
20/2/2019;55;330;0,096;
20/2/2019;55;365;0,0954;
20/2/2019;55;310;0,13425;
27/2/2019;73;330;0,02240024;
27/2/2019;73;360;0,01530045;
27/2/2019;73;380;0,034200285;
27/2/2019;71;100;0;
27/2/2019;71;70;0,0035;
27/2/2019;71;65;0,00585;
27/2/2019;69;880;0,22660396;
27/2/2019;69;780;0,39390078;
27/2/2019;69;510;0,2322;
